"x","y"
136.37059,-173.52946
159.6041,-173.52946
160.61426,-183.63099
187.88837,-183.63099
184.85792,-118.98123
200.0102,-164.43809
235.36554,-165.44825
247.48737,-119.99139
246.47723,-183.63099
271.73104,-183.63099
273.75134,-75.544671
242.43661,-76.554823
223.24371,-138.17413
214.15234,-138.17413
195.96959,-77.564976
162.63456,-77.564976
160.61426,-169.48886
136.37059,-169.48885
136.37059,-157.36702
106.06602,-157.36702
91.923881,-145.24519
89.903577,-115.95077
112.12693,-99.788333
135.36044,-99.788333
137.38075,-75.544671
97.984792,-75.544671
65.659915,-106.8594
65.659915,-155.34672
94.954337,-182.62084
136.37059,-182.62084
